BTC,ETH,ADA,BNB,XRP,SOL,DOT,DOGE,MATIC,LTC,date
1.0,-1.1081939610100982e-22,1.649693519722423e-25,-1.1104497723088584e-22,-2.774197217927304e-23,-1.7211734084945628e-22,-1.1111345954414486e-22,-2.748140384875163e-23,-1.6613585130327422e-22,-1.1058749638325374e-22,2019-04-09
-1.0990522965072342e-22,-5.359807160689391e-23,1.1206368123493475e-22,-1.0941592973255254e-22,-1.083882368356742e-22,1.0,5.395900982423013e-25,5.182851276264233e-25,-1.796142490164104e-22,2.069201931384127e-24,2019-04-16
1.0895403190017846e-22,3.273855187978748e-22,2.179457407509108e-22,1.0515948194419623e-22,2.1659530325955775e-22,2.163717367001666e-22,2.1645683077318244e-22,4.394204108591408e-22,2.160527044296451e-22,1.0,2019-04-23
-1.4254425788544993e-21,-2.0676987632462785e-22,5.910246435921141e-22,-6.501230224992456e-22,0.025371881746402616,-1.190290974347715e-21,-2.173881766861287e-22,0.9746281182535974,-6.154118234367833e-22,-2.0162837377880977e-21,2019-04-30
1.2428625465418801e-24,5.67220424610136e-23,1.1892466760350931e-24,5.619579634557654e-23,-5.49645731034979e-23,1.1281341251919311e-22,-5.437844917897737e-23,1.0,2.86551650596466e-23,5.641725860463629e-23,2019-05-07
1.1205813558360076e-22,2.2271553766020933e-22,3.337824091947333e-22,1.1207057370217517e-22,3.3376488373067003e-22,1.116562522127434e-22,2.779543215730641e-22,1.0,2.78646619934644e-22,2.2248900301859565e-22,2019-05-14
1.0,-1.1072599013882898e-22,-1.1067792770041315e-22,3.931265302454217e-25,2.918254093098164e-25,-1.3797592178390172e-22,-1.1075817466613028e-22,1.2780344436840502e-22,-1.1054448661665441e-22,5.577613995855423e-23,2019-05-21
2.8500549148832414e-23,1.114075853211581e-22,8.487019000842518e-23,1.0,4.2705324492284646e-23,1.6360413103185095e-24,1.1185553085727992e-22,1.1174863837884088e-22,3.1031981959033676e-24,1.1137615067316957e-22,2019-05-28
3.3400583364206493e-22,2.2265703895948487e-22,2.227342787596979e-22,9.529521833611492e-25,2.232322843927444e-22,1.0,1.114859113751339e-22,2.2200750026016025e-22,2.2302775890798626e-22,2.230713502453398e-22,2019-06-04
1.8536092234980295e-22,1.2837827053441939e-22,1.2488602183484932e-22,1.2522939868416588e-22,1.385108555990657e-23,1.0,1.177269487716637e-22,1.2670589585851337e-22,2.317156755839849e-22,1.2330356457713417e-22,2019-06-11
2.9628527749357324e-23,1.1423390440418161e-22,5.732776992954811e-23,1.0,1.8529108181065814e-24,2.2786319331014885e-24,1.6823435550764952e-24,1.1192567996044633e-22,-2.5889153285802706e-23,-2.2142097552573677e-22,2019-06-18
-2.820001969350379e-22,1.3876777704102972e-22,-5.9135360370486116e-24,-7.78156751196451e-23,2.275174708930938e-23,0.3667153243856118,8.565538882642005e-24,0.6332846756143883,-2.0036929179480226e-22,7.116050407107547e-24,2019-06-25
-2.853840019081915e-22,4.769546726130025e-22,0.05112289396584808,1.176350510630002e-22,1.0238102373253093e-22,-7.952252191430253e-22,3.5756657111086223e-22,-7.078715510031824e-23,0.948877106034152,-2.2660663224252124e-22,2019-07-02
-3.574601837622475e-24,1.0946093482035215e-22,1.7826385246878725e-22,1.0724982020252584e-22,1.0907770778726578e-22,-4.605003072714745e-24,5.1096581169449025e-23,1.894425146904189e-22,2.20087578230353e-22,1.0,2019-07-09
